MJD,BJD,FLUX2,CADENCENO,POS_CORR1,FLUX1,STARPOS,FLUX4,FLUX5,FLUX3,SAP_FLUX_ERR,BACKGROUND,TIME,SAP_QUALITY,POS_CORR2,SAP_FLUX
57620.44001582,57620.43565349118,1990.6137767934047,131108,0.07511166483163834,1762.556326413142,1097.2269389888136,2188.994167943528,2205.8137002219937,2147.5722227870465,2205.8137002219937,23.578166961669922,57620.43565349118,0,0.003072419436648488,2205.8137002219937
57620.46044932,57620.45608568599,1992.290649835785,131109,0.03145255148410797,1760.063812039231,1097.2709700913206,2190.5633983068274,2207.376715676887,2149.426274274968,2207.376715676887,23.58340835571289,57620.45608568599,0,0.0013185745337978005,2207.376715676887
57620.48088302,57620.4765180813,1989.9712690198598,131110,-0.04965825006365776,1755.1052902071963,1097.3549917468358,2186.9794378345855,2203.6242719744478,2146.433425809942,2203.6242719744478,23.588661193847656,57620.4765180813,0,-0.002804257906973362,2203.6242719744478
57620.50131662,57620.496950377135,1991.718339085215,131111,-0.08845289051532745,1757.166065894367,1097.3968656521995,2188.6752869833226,2205.438322855848,2147.934726559715,2205.438322855848,23.59392738342285,57620.496950377135,0,-0.003967590164393187,2205.438322855848
57620.52175012,57620.5173825735,1992.3869877723134,131112,-0.15096786618232727,1761.3764317070513,1097.4471345795748,2187.8712335752175,2204.5579865952545,2147.4663380182756,2204.5579865952545,23.599206924438477,57620.5173825735,0,-0.008568767458200455,2204.5579865952545
57620.54218382,57620.53781497035,1989.6872709825855,131113,-0.24073192477226257,1768.3574898392508,1097.522417501749,2180.0611561770957,2195.970445494437,2140.9194482061584,2195.970445494437,23.6044979095459,57620.53781497035,0,-0.01544527430087328,2195.970445494437
57620.56261732,57620.55824716773,1980.8535617725538,131114,-0.3031446635723114,1765.5821976554998,1097.5693021445438,2170.7044326797513,2186.889249039457,2131.553448961015,2186.889249039457,23.60980224609375,57620.55824716773,0,-0.016371114179491997,2186.889249039457
57620.58305092,57620.57867946562,1973.9119633921214,131115,-0.35904067754745483,1762.206877674852,1097.6134168682643,2165.9416573479366,2182.0352844007953,2126.363162341559,2182.0352844007953,23.61511993408203,57620.57867946562,0,-0.02110772207379341,2182.0352844007953
57620.60348462,57620.599111864016,1962.8436125218666,131116,-0.4244863986968994,1752.6061014599322,1097.6661151403664,2159.383869199545,2175.902617939574,2119.021338208485,2175.902617939574,23.62044906616211,57620.599111864016,0,-0.029141442850232124,2175.902617939574
57620.62391812,57620.619544062945,1954.6630339035728,131117,-0.4834970533847809,1743.5385654555444,1097.7082958308863,2156.2361873876353,2173.457809378917,2114.683144761211,2173.457809378917,23.625791549682617,57620.619544062945,0,-0.03308073431253433,2173.457809378917
