MJD,BJD,FLUX2,CADENCENO,POS_CORR1,FLUX1,STARPOS,FLUX4,FLUX5,FLUX3,SAP_FLUX_ERR,BACKGROUND,TIME,SAP_QUALITY,POS_CORR2,SAP_FLUX,CAD
57291.80647812,57291.80104329964,147.39935321179848,115025,0.3738445043563843,79.57240600568235,854.8694627505012,249.64963184914848,314.27014195597303,198.27676767204673,314.27014195597303,91.11841450566831,57291.80104329964,0,0.06697377562522888,314.27014195597303,115025
57291.82691182,57291.8214763171,144.49243144103565,115026,0.39419862627983093,77.54570306805653,854.8648659806112,245.51870264466788,310.23847734184346,194.64919563494817,310.23847734184346,91.15933459738027,57291.8214763171,0,0.06733918190002441,310.23847734184346,115026
57291.84734532,57291.841909135226,159.08363257039457,115027,0.42896151542663574,87.97491112999296,854.8759611354487,260.15316137165166,321.58304635156514,211.78356133516343,321.58304635156514,91.19837321405825,57291.841909135226,0,0.06717893481254578,321.58304635156514,115027
57291.86777902,57291.86234215401,142.2046945184091,115028,0.4423926770687103,76.85518366633755,854.8696129284956,245.29655437959195,311.0767041744865,193.1099034411473,311.0767041744865,91.23552504829739,57291.86234215401,0,0.06752793490886688,311.0767041744865,115028
57291.88821262,57291.882775073456,155.38490459002776,115029,0.4771002531051636,85.17180625252104,854.8752362396252,257.85278697131014,319.81331321675225,208.74649207179698,319.81331321675225,91.27423228388247,57291.882775073456,0,0.06553012132644653,319.81331321675225,115029
57291.90864612,57291.90320789357,153.51174004664415,115030,0.4980030953884125,84.18260883248371,854.8751501645246,256.1034386204981,318.7292921012197,206.83054863577541,318.7292921012197,91.31486909285836,57291.90320789357,0,0.06434060633182526,318.7292921012197,115030
57291.92907982,57291.923640914334,161.23666792839498,115031,0.1694498211145401,86.02712350911139,854.8597317411972,259.1770262396698,320.21816172322383,211.41455062918288,320.21816172322383,91.35622173806895,57291.923640914334,1048576,0.061010945588350296,320.21816172322383,115031
57291.94951342,57291.94407383576,163.85717686542807,115032,0.14196066558361053,87.40821244778851,854.8548040623066,261.73100080412803,322.3363348925093,214.12145171225552,322.3363348925093,91.39683400029722,57291.94407383576,0,0.06060170754790306,322.3363348925093,115032
57291.96994702,57291.96450675785,163.23894760628679,115033,0.16327962279319763,86.63864350439906,854.8563074215249,261.3387399681727,322.01231116540123,213.64294215498148,322.01231116540123,91.43489240563434,57291.96450675785,0,0.05828826501965523,322.01231116540123,115033
57291.99038062,57291.98493968061,159.99138851880048,115034,0.19695301353931427,85.67458218556015,854.8577402102189,257.7226764913171,319.073217128377,209.93139075909136,319.073217128377,91.4722664874533,57291.98493968061,0,0.05714360997080803,319.073217128377,115034
57292.01081422,57292.00537260401,160.0424635560821,115035,0.21098800003528595,84.68017901213676,854.8568549050202,259.5923679117923,321.02509936802676,210.98706030830584,321.02509936802676,91.50993712052055,57292.00537260401,0,0.057298313826322556,321.02509936802676,115035
57292.03124782,57292.025805528094,158.67085911769703,115036,0.24155659973621368,84.31803886941532,854.8606954446867,259.1217107736826,321.2382809041127,209.84365956626067,321.2382809041127,91.54426375679348,57292.025805528094,0,0.058572351932525635,321.2382809041127,115036
57292.05168142,57292.04623845283,153.37361754136776,115037,0.2559559941291809,81.4827869841634,854.8683685497416,252.44704788948047,314.7692652027778,203.46764638281684,314.7692652027778,91.57808851159137,57292.04623845283,0,0.06007029488682747,314.7692652027778,115037
57292.07211502,57292.06667137822,156.89884401495306,115038,0.2800508141517639,83.0073732475837,854.8598823780848,259.5179807953516,323.08676038509884,208.84786992451382,323.08676038509884,91.61083221435547,57292.06667137822,0,0.06374771147966385,323.08676038509884,115038
57292.09254872,57292.08710440428,152.96589318607107,115039,0.29792311787605286,81.67077562415568,854.8612496768786,253.81277660866192,316.5676660287112,203.8384256716741,316.5676660287112,91.64070394764776,57292.08710440428,0,0.06521592289209366,316.5676660287112,115039
57292.11298232,57292.107537331,151.76674532230373,115040,0.3157424032688141,80.90604619419474,854.8651524433817,252.58227240396775,316.26811490008004,202.53761513934597,316.26811490008004,91.67312389871348,57292.107537331,0,0.0654805600643158,316.26811490008004,115040
57292.13341582,57292.12797015838,150.72421979574256,115041,0.34140387177467346,80.66825401431834,854.8704791025664,253.29754154736986,316.8357218322428,202.26250373765606,316.8357218322428,91.7050031579059,57292.12797015838,0,0.06575534492731094,316.8357218322428,115041
57292.15384952,57292.14840318642,148.06132529194645,115042,0.3589088022708893,79.3741264296616,854.8627949288154,249.78343356705068,313.89532548100647,198.8744562053372,313.89532548100647,91.7368455969769,57292.14840318642,0,0.0672769770026207,313.89532548100647,115042
57292.17428312,57292.168836115125,159.31289869517315,115043,0.21297726035118103,84.83278967460802,854.8593447822191,259.15661481766074,321.0106043551708,210.2304294896337,321.0106043551708,91.7688220480214,57292.168836115125,1048576,0.0634637251496315,321.0106043551708,115043
57292.19471662,57292.18926894449,161.25367782605696,115044,0.1789461225271225,86.52405703298655,854.8544056967351,259.47109431644856,320.77834982492016,211.50667991985563,320.77834982492016,91.80442975914997,57292.18926894449,0,0.06306519359350204,320.77834982492016,115044
57292.21515032,57292.20970197451,159.75963214961223,115045,0.2054985910654068,84.59679574096549,854.8574469548275,260.49620160758957,322.43504113987433,211.1906198615551,322.43504113987433,91.83955383300781,57292.20970197451,0,0.06377369165420532,322.43504113987433,115045
57292.23558392,57292.23013490521,156.94662122788924,115046,0.22424592077732086,83.82478263313612,854.8584532089828,256.166820802969,318.31695787788567,207.33223163182998,318.31695787788567,91.87412361476733,57292.23013490521,0,0.06362741440534592,318.31695787788567,115046
57292.25601752,57292.25056783655,156.3602680299444,115047,0.2517877221107483,82.40803844020809,854.8635830389354,258.0106389037443,320.9784369101477,208.06976213138,320.9784369101477,91.90747103483781,57292.25056783655,0,0.061518345028162,320.9784369101477,115047
57292.27645112,57292.27100076857,153.72906870388397,115048,0.2756127417087555,81.39061044837479,854.8611419213712,253.9291567748137,317.5713044671678,204.3024588343431,317.5713044671678,91.9383080523947,57292.27100076857,0,0.060578685253858566,317.5713044671678,115048
57292.29688472,57292.29143370124,154.08127801919267,115049,0.2939954698085785,82.06234782114831,854.8654126701578,255.20524819644356,318.2265936916384,205.11781207619185,318.2265936916384,91.96816419518512,57292.29143370124,0,0.06042207032442093,318.2265936916384,115049
57292.31731842,57292.31186673458,153.14693173184702,115050,0.3235933780670166,81.71682158234114,854.8652096255004,255.39221842024858,318.89512761463357,204.7221177332936,318.89512761463357,92.00088600490405,57292.31186673458,0,0.05999300628900528,318.89512761463357,115050
57292.33775192,57292.33229956858,151.0168823636876,115051,0.3381503224372864,80.70581451174081,854.8628306142505,253.0285784327391,317.6824906210959,202.07655821299414,317.6824906210959,92.03615934952445,57292.33229956858,0,0.062369413673877716,317.6824906210959,115051
57292.35818552,57292.35273250324,147.74790360112246,115052,0.3692376911640167,78.86731393885549,854.8679928630914,249.914380037005,313.678598905052,198.8946272658041,313.678598905052,92.0709925112517,57292.35273250324,0,0.06456702202558517,313.678598905052,115052
57292.37861922,57292.37316553856,147.9392450646974,115053,0.39042478799819946,79.61681970224674,854.8701770159529,251.04836016057914,316.28065674932327,199.30068990983602,316.28065674932327,92.1034807951554,57292.37316553856,0,0.06560277938842773,316.28065674932327,115053
57292.39905272,57292.393598374554,145.25197382590073,115054,0.4166114032268524,77.92888902811438,854.8663629797458,250.4111477058425,316.9494484697216,197.33213591592022,316.9494484697216,92.13812355373217,57292.393598374554,0,0.0664965882897377,316.9494484697216,115054
57292.419486419996,57292.414031411194,161.92849998781503,115055,0.19667616486549377,86.61020083112334,854.8599374367958,261.3444672725914,322.96620836170814,212.74028988229293,322.96620836170814,92.172131082286,57292.414031411194,1048576,0.06460097432136536,322.96620836170814,115055
57292.43992002,57292.43446434851,162.28609012909413,115056,0.18113873898983002,86.3830125327139,854.8615368309629,261.23221924845734,322.6059576207971,213.09278943120586,322.6059576207971,92.20804032035495,57292.43446434851,8192,0.06454943120479584,322.6059576207971,115056
57292.46035352,57292.454897186486,161.25964498301926,115057,0.21462874114513397,86.66944801322876,854.8598851039721,261.3024049811677,323.25358274018686,212.30772946328392,323.25358274018686,92.24354918106742,57292.454897186486,0,0.06616903096437454,323.25358274018686,115057
57292.48078722,57292.47533022513,159.26525424311677,115058,0.2305716872215271,84.80228570565083,854.8594630284359,259.92424058335655,322.4182132642484,210.48831379183315,322.4182132642484,92.27803139064623,57292.47533022513,0,0.0650545284152031,322.4182132642484,115058
57292.50122072,57292.49576306443,153.99160772996152,115059,0.2624015808105469,81.76274442786746,854.8664588455812,254.53821996770046,317.20824038138403,204.86588881376144,317.20824038138403,92.31367492675781,57292.49576306443,0,0.06380589306354523,317.20824038138403,115059
57292.52165432,57292.51619600439,154.73493231471332,115060,0.27986177802085876,82.47023039244687,854.8617865895066,255.90606169754744,319.24927568817805,205.80038603836925,319.24927568817805,92.35081548276155,57292.51619600439,0,0.06522879749536514,319.24927568817805,115060
