MJD-57216.958185,Flux
2.452032,4176.796571
2.472466,4175.656973
2.492900,4174.698221
2.513333,4173.562800
2.533767,4177.357678
2.554201,4175.485326
2.574634,4172.260874
2.595068,4174.893707
2.615501,4171.755082
2.635935,4169.675707
2.656369,4170.692551
2.676802,4170.319884
2.697236,4171.357133
2.717669,4173.744155
2.738103,4171.812044
2.758537,4172.643116
2.778970,4166.605048
2.799404,4168.481581
2.819837,4172.083037
2.840271,4173.310914
2.860705,4170.979414
2.881138,4171.522914
2.901572,4170.315288
2.922005,4170.497484
2.942439,4170.818503
2.962873,4174.297898
2.983306,4170.033667
3.003740,4174.628297
3.024173,4172.558864
3.044607,4174.765360
3.065041,4173.024129
3.085474,4175.600768
3.105908,4158.424478
3.126341,4181.870720
3.146775,4183.767596
3.167209,4182.686006
3.187642,4184.676995
3.208076,4183.260865
3.228509,4186.392098
3.248943,4182.475479
3.269377,4183.237836
3.289810,4180.313919
3.310244,4181.985216
3.330677,4185.212516
3.351111,4179.746058
3.371545,4182.124671
3.391978,4180.512072
3.412412,4179.496980
3.432845,4178.582056
3.453279,4177.198755
3.473713,4176.730049
3.494146,4177.543605
3.514580,4175.010624
3.535014,4176.623612
3.555447,4179.983450
3.575881,4179.148951
3.596314,4178.064966
3.616748,4180.233645
3.637182,4179.801028
3.657615,4179.900663
3.678049,4179.569147
3.698482,4179.064591
3.718916,4178.423317
3.739349,4179.359602
3.759783,4178.960490
3.780217,4175.732764
3.800650,4176.574165
3.821084,4176.713816
3.841518,4179.574185
3.861951,nan
3.882385,4178.268069
3.902818,4176.855196
3.923252,4177.691587
3.943686,4181.811477
3.964119,4179.743526
3.984553,4178.893694
4.004986,4176.379311
4.025420,4177.315345
4.045854,4179.204016
4.066287,4178.203527
4.086721,4179.035336
4.107155,4174.979671
4.127588,4179.433257
4.148022,4176.630000
4.168455,4177.636996
4.188889,4177.514739
4.209322,4178.805382
4.229756,4176.928731
4.250190,4176.121711
4.270623,4173.941366
4.291057,4173.670250
4.311490,4174.379887
4.331924,4172.481070
4.352358,4175.037428
4.372791,4175.502478
4.393225,4172.806243
4.413658,4172.704525
4.434092,4171.491514
4.454526,4168.438170
4.474959,4170.272455
4.495393,4169.646565
4.515826,4165.800949
4.536260,4170.113047
4.556694,4172.367529
4.577127,4168.830693
4.597561,4167.674881
4.617994,4168.020886
4.638428,4164.330378
4.658862,4163.501666
4.679295,4163.761821
4.699729,4163.519535
4.720162,4163.731055
4.740596,4162.129586
4.761030,4164.861968
4.781463,4161.143680
4.801897,4161.236985
4.822331,4162.832634
4.842764,4160.425353
4.863198,4159.991417
4.883631,4160.264105
4.904065,4160.115191
4.924499,4159.274381
4.944932,4160.236675
4.965366,4156.693611
4.985799,4159.352896
5.006233,4157.885227
5.026667,4158.533570
5.047100,4159.019113
5.067534,4159.307241
5.087967,4180.354790
5.108401,4156.811403
5.128835,4155.626005
5.149268,4156.687676
5.169702,4157.195824
5.190135,4155.281609
5.210569,4154.761436
5.231003,4153.149551
5.251436,4154.719777
5.271870,4152.695663
5.292303,4155.992434
5.312737,4153.137349
5.333171,4152.291184
5.353604,4154.408211
5.374038,4151.891035
5.394471,4155.818120
5.414905,4153.055452
5.435339,4151.441089
5.455772,4152.032094
5.476206,4150.116750
5.496639,4151.479845
5.517073,4155.160418
5.537507,4149.078614
5.557940,4148.530012
5.578374,4151.622196
5.598807,4150.855293
5.619241,4152.156323
5.639675,4149.235512
5.660108,4150.656009
5.680542,4150.638492
5.700975,4149.874045
5.721409,4148.021218
5.741843,4149.269064
5.762276,4149.352625
5.782710,4150.763962
5.803144,4148.827311
5.823577,nan
5.844011,4149.455889
5.864444,4150.759474
5.884878,4149.434989
5.905312,4149.441401
5.925745,4151.573302
5.946179,4151.513086
5.966612,4149.641650
5.987046,4149.173231
6.007479,4151.607313
6.027913,4150.468153
6.048347,4148.316137
6.068780,4152.327909
6.089214,4151.021261
6.109648,4150.870348
6.130081,4148.699253
6.150515,4148.944518
6.170948,4147.966987
6.191382,4147.720968
6.211816,4149.560398
6.232249,4148.079647
6.252683,4148.184071
6.273116,4148.829478
6.293550,4151.252401
6.313984,4147.423199
6.334417,4146.632255
6.354851,4148.545552
6.375284,4146.187852
6.395718,4151.452443
6.416152,4150.815887
6.436585,4148.845884
6.457019,4148.683719
6.477452,4153.487202
6.497886,4151.365392
6.518320,4147.388114
6.538753,4153.844215
6.559187,4149.426465
6.579621,4151.169360
6.600054,4147.542128
6.620488,4148.313991
6.640921,4150.478433
6.661355,4163.553453
6.681788,4150.219293
6.702222,4150.941294
6.722656,4151.047828
6.743089,4154.521582
6.763523,4151.618412
6.783956,4152.999927
6.804390,4150.279715
6.824824,4149.905695
6.845257,4154.504160
6.865691,4154.221160
6.886125,4153.956999
6.906558,4156.106563
6.926992,4154.104019
6.947425,4156.372805
6.967859,4155.878365
6.988292,4154.664948
7.008726,4155.639100
7.029160,4155.357588
7.049593,4154.918747
7.070027,4157.777930
7.090461,4154.593656
7.110894,4158.600300
7.131328,4158.903922
7.151761,4158.344175
7.172195,4159.754642
7.192629,4157.769969
7.213062,4158.353655
7.233496,4160.273565
7.253929,4163.182401
7.274363,4158.639526
7.294796,4166.327120
7.315230,4166.667717
7.335664,4163.769932
7.356098,4163.993710
7.376531,4167.127711
7.396965,4169.621829
7.417398,4166.741040
7.437832,4167.343751
7.458265,4169.738761
7.478699,4171.754716
7.499133,4169.719034
7.519566,4170.753358
7.540000,4170.414908
7.560433,4170.302111
7.580867,4172.457380
7.601301,4173.420465
7.621734,4172.718260
7.642168,4174.734898
7.662602,4173.166581
7.683035,4171.924925
7.703469,4169.090495
7.723902,4169.878130
7.744336,4168.355265
7.764769,4167.178104
7.785203,nan
7.805637,4169.175819
7.826070,4170.905135
7.846504,4169.228201
7.866937,4174.924314
7.887371,4174.540583
7.907805,4172.564507
7.928238,4173.155735
7.948672,4172.673800
7.969106,4171.760224
7.989539,4173.625377
8.009973,4172.866722
8.030406,4173.614836
8.050840,4174.543126
8.071274,4176.191817
8.091707,4175.400306
8.112141,4178.480754
8.132574,4179.356736
8.153008,4180.132379
8.173442,4178.696795
8.193875,4181.477022
8.214309,4182.171377
8.234742,4183.605916
8.255176,4185.210689
8.275610,4182.726595
8.296043,4182.134579
8.316477,4182.793540
8.336910,4185.253282
8.357344,4183.870250
8.377778,4185.997473
8.398211,4182.160828
8.418645,4183.012660
8.439078,4183.015859
8.459512,4190.622574
8.479946,4184.164347
8.500379,4182.836979
8.520813,4181.263030
8.541246,4181.630487
8.561680,4177.897958
8.582114,4182.440095
8.602547,nan
8.622981,nan
8.643414,nan
8.663848,nan
8.684282,nan
8.704715,nan
8.725149,4181.629611
8.745582,4182.506076
8.766016,4181.738172
8.786450,4182.071342
8.806883,4182.941947
8.827317,nan
8.847750,4182.086479
8.868184,4185.496694
8.888618,4183.734057
8.909051,4185.580471
8.929485,4182.384624
8.949918,4184.176570
8.970352,4180.968515
8.990786,nan
9.011219,4183.602282
9.031653,4181.446668
9.052086,4182.460652
9.072520,4181.641508
9.092954,4183.273280
9.113387,4182.569998
9.133821,4184.093122
9.154254,4185.602886
9.174688,4185.721647
9.195122,4184.087375
9.215555,4184.678557
9.235989,4183.556615
9.256422,4189.241772
9.276856,4186.263353
9.297290,4189.863024
9.317723,4190.214777
9.338157,4187.782163
9.358591,4190.423278
9.379024,4187.907981
9.399458,4187.369514
9.419891,4185.189445
9.440325,4186.319471
9.460759,4187.144261
9.481192,4186.002896
9.501626,4185.913429
9.522059,4187.874834
9.542493,4182.168453
9.562926,4181.135737
9.583360,4179.255886
9.603794,4179.344942
9.624227,4182.551953
9.644661,4176.792543
9.665095,4175.126987
9.685528,4172.187698
9.705962,4175.276798
9.726395,4126.993858
9.746829,nan
9.767263,4175.814085
