MJD-57216.958185,Flux
6.579621,1194.131893
6.600054,1193.667730
6.620488,1192.251677
6.640921,1191.857841
6.661355,1192.823143
6.681788,1192.585370
6.702222,1192.251088
6.722656,1192.903500
6.743089,1193.704553
6.763523,1191.682963
6.783956,1193.428341
6.804390,1192.524249
6.824824,1192.348770
6.845257,1191.665930
6.865691,1191.155790
6.886125,1192.839755
6.906558,1193.340061
6.926992,1194.144219
6.947425,1194.562152
6.967859,1194.843561
6.988292,1195.241132
7.008726,1194.898666
7.029160,1196.540549
7.049593,1196.992003
7.070027,1196.641903
7.090461,1195.706822
7.110894,1195.826794
7.131328,1195.346051
7.151761,1195.752585
7.172195,1196.715752
7.192629,1195.734094
7.213062,1195.290523
7.233496,1196.766723
7.253929,1195.621219
7.274363,1195.679383
7.294796,1196.315046
7.315230,1197.174908
7.335664,1195.265268
7.356098,1197.347013
7.376531,1196.460839
7.396965,1195.076844
7.417398,1196.411569
7.437832,1196.383375
7.458265,1196.962165
7.478699,1197.589210
7.499133,1196.295188
7.519566,1197.725642
7.540000,1197.467254
7.560433,1196.002129
7.580867,1197.919996
7.601301,1197.646921
7.621734,1197.601886
7.642168,1197.136910
7.662602,1197.927301
7.683035,1198.371624
7.703469,1197.687490
7.723902,1197.895076
7.744336,1197.545412
7.764769,1197.138131
7.785203,nan
7.805637,1195.092711
7.826070,1195.081911
7.846504,1194.600186
7.866937,1194.546073
7.887371,1195.615724
7.907805,1195.521548
7.928238,1197.260797
7.948672,1196.601742
7.969106,1196.093308
7.989539,1196.575608
8.009973,1194.985155
8.030406,1195.293332
8.050840,1195.128796
8.071274,1195.374806
8.091707,1196.306753
8.112141,1196.893925
8.132574,1196.176737
8.153008,1196.499110
8.173442,1198.274117
8.193875,1197.125328
8.214309,1198.047741
8.234742,1197.470546
8.255176,1197.562553
8.275610,1197.430683
8.296043,1196.144875
8.316477,1196.929868
8.336910,1197.249651
8.357344,1197.563330
8.377778,1196.858829
8.398211,1198.095735
8.418645,1196.942626
8.439078,1198.671355
8.459512,1198.503111
8.479946,1198.419218
8.500379,1199.402952
8.520813,1200.805266
8.541246,1199.590513
8.561680,1199.521902
8.582114,1198.835438
8.602547,nan
8.622981,nan
8.643414,nan
8.663848,nan
8.684282,nan
8.704715,nan
8.725149,1199.788830
8.745582,1201.081783
8.766016,1201.751568
8.786450,1200.709194
8.806883,1198.703347
8.827317,1200.384635
8.847750,nan
8.868184,1202.044467
8.888618,1200.195740
8.909051,1202.939124
8.929485,1202.341356
8.949918,1201.371518
8.970352,1202.242622
8.990786,1202.713336
9.011219,1196.854100
9.031653,1195.320818
9.052086,1194.914033
9.072520,1198.052225
9.092954,1197.023570
9.113387,1196.653557
9.133821,1197.262815
9.154254,1198.512121
9.174688,1197.751791
9.195122,1196.463195
9.215555,1197.600512
9.235989,1197.205667
9.256422,1196.213321
9.276856,1197.066097
9.297290,1197.349042
9.317723,1198.173248
9.338157,1196.409295
9.358591,1197.318805
9.379024,1196.174167
9.399458,1197.641922
9.419891,1198.097347
9.440325,1195.981986
9.460759,1195.930712
9.481192,1195.603982
9.501626,1196.356265
9.522059,1195.868035
9.542493,1197.088112
9.562926,1197.215550
9.583360,1197.438487
9.603794,1195.246363
9.624227,1196.438130
9.644661,1197.468376
9.665095,1196.618874
9.685528,1198.098630
9.705962,1198.091872
9.726395,1199.874996
9.746829,nan
9.767263,1193.404149
9.787696,1193.846157
9.808130,1194.569790
9.828563,1194.587856
9.848997,1195.457241
9.869431,1194.829434
9.889864,1196.116055
9.910298,1196.454176
9.930731,1196.762023
9.951165,1198.088971
9.971599,1195.565275
9.992032,1196.385188
10.012466,1196.998721
10.032899,1196.552984
10.053333,1196.633875
10.073767,1196.101851
10.094200,1196.219104
10.114634,1196.616523
10.135067,1196.304347
10.155501,1197.060409
10.175935,1195.549625
10.196368,1195.995506
10.216802,1195.151226
10.237235,1195.714660
10.257669,1198.472553
10.278103,1197.626564
10.298536,1198.210872
10.318970,1198.776618
10.339404,1197.179530
