EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,logg,[Fe/H],Radius,mass,rho,Distance,E(B-V),Ang Sep (')
211956677,08 54 14.763,+19 34 31.61,0,7.982,43722,1397-1516-1,548-046725,08541476+1934314,,STAR,BV,10.840,1.360,-27.380,0.940,3.580,1.150,9.798,0.037,8.288,0.015,,,,,,,,,,,5.699,0.018,,,4.791,0.024,,,,,,,,,254.505
211675308,08 57 35.200,+15 34 52.62,0,5.715,44001,1394-2121-1,528-049344,,,STAR,BV,60.890,0.400,19.570,0.280,21.680,0.330,5.892,0.015,5.677,0.010,,,,,,,,,,,,,,,,,,,,,,,,,255.452
211656526,08 57 14.950,+15 19 21.95,0,5.281,43970,1394-2122-1,527-048479,,,STAR,BV,61.470,0.340,19.400,0.240,21.870,0.260,5.373,0.014,5.220,0.010,,,,,,,,,,,,,,,,,,,,,,,,,256.014
211824808,08 23 00.071,+17 40 06.70,0,7.671,,1382-760-1,539-045373,08230006+1740067,,STAR,BV,18.400,1.000,-33.100,0.900,,,8.988,0.020,7.873,0.012,,,,,,,,,,,5.877,0.037,5.259,0.034,5.111,0.016,,,,,,,,,257.507
211549149,08 53 45.739,+13 49 49.46,0,7.114,43666,817-1299-1,520-048586,08534574+1349494,,STAR,BV,-31.480,0.620,-5.490,0.440,8.600,0.570,7.242,0.016,7.063,0.011,,,,,,,,,,,6.636,0.020,6.588,0.021,6.537,0.023,,,,,,,,,261.648
211872710,08 23 21.840,+18 19 55.92,0,5.979,41117,1382-86-1,542-045396,08232183+1819559,,STAR,BV,-50.900,1.030,-33.200,0.810,8.490,1.090,6.115,0.015,5.930,0.010,,,,,,,,,,,5.508,0.021,5.507,0.024,5.436,0.015,,,,,,,,,262.833
211718333,08 22 31.883,+16 09 44.96,0,6.435,41040,1378-563-1,531-046045,,,STAR,BV,-21.660,0.700,-17.670,0.520,2.330,0.720,7.843,0.017,6.656,0.010,,,,,,,,,,,,,,,,,,,,,,,,,263.366
211871051,08 58 18.291,+18 18 29.78,0,6.665,44056,1397-1917-1,542-046944,08581829+1818297,,STAR,BV,-24.020,0.890,-21.690,0.300,7.560,0.350,6.569,0.015,6.552,0.011,,,,,,,,,,,6.471,0.018,6.510,0.016,6.499,0.034,,,,,,,,,267.853
211476769,08 32 11.383,+12 48 10.00,0,7.073,41865,804-45-1,515-048008,08321137+1248100,,STAR,BV,3.650,0.840,-4.430,0.540,5.660,0.620,8.410,0.019,7.279,0.011,,,,,,,,,,,5.377,0.023,,,4.775,0.033,,,,,,,,,270.833
211858460,08 59 10.731,+18 08 05.51,0,6.034,44126,1397-943-1,541-047556,,,STAR,BV,-47.700,0.710,-69.410,0.340,5.320,0.440,7.843,0.018,6.340,0.011,,,,,,,,,,,,,,,,,,,,,,,,,276.674
212070711,08 43 17.148,+21 28 06.60,0,4.764,42806,1399-2905-1,558-046952,,,STAR,BV,-103.510,0.260,-39.480,0.170,18.000,0.210,4.670,0.014,4.652,0.009,,,,,,,,,,,,,,,,,,,,,,,,,280.863
211459648,08 48 39.536,+12 32 48.99,0,6.323,43251,816-2496-1,513-048719,,,STAR,BV,-18.460,0.730,0.110,0.450,3.400,0.640,8.279,0.020,6.659,0.011,,,,,,,,,,,,,,,,,,,,,,,,,282.118
212072039,08 34 39.182,+21 29 34.86,0,7.984,42083,1398-1110-1,558-046561,08343918+2129349,,STAR,BV,-0.190,0.990,-19.940,0.560,7.640,0.880,8.523,0.019,8.045,0.014,,,,,,,,,,,7.139,0.018,,,6.949,0.027,,,,,,,,,292.333
211616722,08 21 57.182,+14 46 05.30,0,7.002,40995,807-1784-1,524-047040,,,STAR,BV,-25.310,0.810,-8.720,0.650,3.690,0.700,8.530,0.019,7.248,0.011,,,,,,,,,,,,,,,,,,,,,,,,,296.580
211431054,08 46 56.019,+12 06 35.82,0,5.963,43121,813-1445-1,511-046921,,,STAR,BV,-64.460,0.510,-51.690,0.290,18.530,0.430,5.992,0.014,5.885,0.009,,,,,,,,,,,,,,,,,,,,,,,,,297.600
212052751,08 28 07.151,+21 08 54.55,0,6.699,41524,1391-737-1,556-045469,,,STAR,BV,3.540,0.780,-132.100,0.540,7.000,0.610,7.892,0.018,6.875,0.011,,,,,,,,,,,,,,,,,,,,,,,,,314.038
211466644,08 26 43.939,+12 39 16.60,0,5.254,41400,804-1492-1,514-047264,,,STAR,BV,-19.070,0.340,-103.470,0.190,3.620,0.330,7.118,0.016,5.571,0.009,,,,,,,,,,,,,,,,,,,,,,,,,321.520
211981733,08 22 03.908,+19 57 33.07,0,6.939,41002,1386-476-1,550-045047,,,STAR,BV,29.330,1.120,-41.270,0.650,3.260,0.680,8.566,0.018,7.206,0.010,,,,,,,,,,,,,,,,,,,,,,,,,324.133
211386000,08 47 07.829,+11 25 10.82,0,7.315,43130,813-2785-1,508-048988,,,STAR,BV,11.090,0.790,-13.040,0.600,3.320,0.790,9.216,0.024,7.640,0.012,,,,,,,,,,,,,,,,,,,,,,,,,338.075
211399859,08 31 16.163,+11 38 18.26,0,7.124,41792,804-76-1,509-046094,08311616+1138183,,STAR,BV,-7.380,0.970,-36.470,0.650,3.020,0.770,8.701,0.020,7.381,0.012,,,,,,,,,,,5.223,0.030,,,4.393,0.018,,,,,,,,,339.890
211377673,08 35 04.202,+11 17 01.40,0,7.395,42112,805-51-1,507-046637,08350420+1117012,,STAR,BV,-47.910,0.630,-51.730,0.530,18.890,0.730,7.970,0.016,7.466,0.012,,,,,,,,,,,6.462,0.018,6.285,0.042,6.236,0.017,,,,,,,,,342.440
211495404,08 59 26.881,+13 04 27.81,0,6.167,44148,817-2067-1,516-049756,,,STAR,BV,-18.660,0.600,-6.110,0.540,2.370,0.560,7.935,0.017,6.464,0.010,,,,,,,,,,,,,,,,,,,,,,,,,353.693
211356086,08 40 32.549,+10 55 26.88,0,6.483,42560,801-1597-1,505-048891,,,STAR,BV,-9.170,0.920,-7.970,0.500,3.330,0.620,8.140,0.018,6.756,0.010,,,,,,,,,,,,,,,,,,,,,,,,,354.331
211404229,08 28 02.619,+11 42 23.13,0,6.957,41518,804-158-1,509-045925,,,STAR,BV,-5.280,0.840,-7.560,0.640,4.030,0.710,8.776,0.021,7.264,0.011,,,,,,,,,,,,,,,,,,,,,,,,,357.693
212089666,08 54 32.233,+21 49 13.12,0,7.961,,1400-1504-1,560-047201,08543222+2149131,,STAR,BV,26.700,1.000,-32.800,1.000,,,9.427,0.029,8.194,0.015,,,,,,,,,,,6.261,0.019,5.713,0.023,5.568,0.027,,,,,,,,,358.300
211477463,08 21 29.883,+12 48 48.00,0,7.811,40956,803-832-1,515-047369,08212988+1248480,,STAR,BV,-3.300,0.960,-8.990,0.560,3.130,0.740,9.382,0.027,8.066,0.014,,,,,,,,,,,5.926,0.020,5.307,0.016,5.142,0.021,,,,,,,,,367.425
211785687,09 06 15.587,+17 06 42.83,0,7.381,44674,1401-1007-1,536-049293,09061558+1706430,,STAR,BV,-3.180,0.910,-55.110,0.590,4.950,0.710,8.613,0.016,7.566,0.011,,,,,,,,,,,5.764,0.017,5.286,0.040,5.145,0.023,,,,,,,,,368.070
212029623,08 20 20.973,+20 44 51.80,0,5.588,40866,1390-1846-1,554-042232,,,STAR,BV,65.220,0.430,-45.560,0.310,5.790,0.370,6.942,0.015,5.798,0.009,,,,,,,,,,,,,,,,,,,,,,,,,371.703
211399051,08 55 55.548,+11 37 33.69,0,5.141,43851,814-2519-1,509-047640,,,STAR,BV,-14.700,0.410,-14.080,0.300,4.690,0.370,6.921,0.015,5.440,0.009,,,,,,,,,,,,,,,,,,,,,,,,,383.268
211752778,08 13 37.793,+16 38 49.05,0,7.996,40289,1377-6-1,534-045664,08133779+1638490,,STAR,BV,-2.400,1.200,-5.350,0.740,1.870,0.880,9.695,0.035,8.278,0.016,,,,,,,,,,,5.770,0.026,5.127,0.021,4.915,0.016,,,,,,,,,387.986
211414384,08 58 29.223,+11 51 27.72,0,4.315,44066,814-3029-1,510-049031,,,STAR,BV,43.230,1.040,-29.630,0.700,17.320,0.970,4.388,0.014,4.249,0.009,,,,,,,,,,,,,,,,,,,,,,,,,395.320
211329325,08 48 37.041,+10 25 58.91,0,6.613,43245,813-1657-1,503-050606,,,STAR,BV,8.670,0.700,6.070,0.510,4.100,0.690,8.457,0.017,6.926,0.010,,,,,,,,,,,,,,,,,,,,,,,,,401.045
211756677,09 08 34.190,+16 42 06.05,0,7.392,44870,1401-855-1,534-048192,09083418+1642060,,STAR,BV,-16.060,0.890,-9.320,0.360,4.100,0.690,8.638,0.018,7.579,0.011,,,,,,,,,,,5.766,0.024,5.321,0.034,5.133,0.020,,,,,,,,,401.327
212058994,08 19 23.991,+21 15 26.12,0,7.771,40781,1390-1607-1,557-044314,08192398+2115260,,STAR,BV,21.180,0.940,-23.920,0.610,3.760,0.770,9.221,0.020,8.001,0.012,,,,,,,,,,,6.008,0.018,5.542,0.027,5.340,0.020,,,,,,,,,401.406
211810753,09 09 02.312,+17 28 10.75,0,6.949,44918,1401-384-1,538-049010,09090231+1728109,,STAR,BV,-38.180,0.840,-32.600,0.340,4.620,0.620,8.386,0.017,7.176,0.010,,,,,,,,,,,5.202,0.029,4.747,0.029,4.484,0.026,,,,,,,,,408.955
211823340,08 12 12.809,+17 38 51.63,0,6.103,,,539-044679,,,STAR,BV,141.000,1.000,-126.100,1.000,,,6.936,0.990,6.245,0.990,,,,,,,,,,,,,,,,,,,,,,,,,410.030
211823343,08 12 12.726,+17 38 51.96,0,5.173,40167,1381-1638-1,539-044678,,,STAR,BV,27.610,1.170,-151.730,0.990,39.870,0.820,5.745,0.014,5.243,0.009,,,,,,,,,,,,,,,,,,,,,,,,,410.050
212178066,08 38 45.521,+23 41 09.26,0,6.793,42403,1942-1827-1,569-044287,08384552+2341094,,STAR,BV,-46.320,0.710,-148.740,0.530,28.900,0.720,7.437,0.016,6.884,0.010,,,,,,,,,,,5.836,0.018,5.640,0.034,5.567,0.018,,,,,,,,,412.219
211998784,08 15 24.668,+20 14 03.58,0,7.612,,1385-1113-1,552-043014,08152465+2014035,,STAR,BV,7.300,1.100,-4.600,1.000,,,9.340,0.030,7.900,0.014,,,,,,,,,,,5.438,0.021,4.822,0.166,4.612,0.018,,,,,,,,,412.694
211743999,08 11 49.188,+16 31 25.90,0,7.225,40133,1377-1323-1,533-045992,08114919+1631264,,STAR,BV,-42.380,0.640,-258.660,0.520,30.410,0.650,8.010,0.018,7.354,0.012,,,,,,,,,,,6.120,0.020,5.855,0.020,5.795,0.018,,,,,,,,,414.368
212100528,08 21 04.913,+22 01 54.15,0,7.917,40920,1390-61-1,561-046450,08210491+2201542,,STAR,BV,-10.160,1.160,-17.770,0.720,4.180,0.910,9.075,0.019,8.148,0.013,,,,,,,,,,,6.483,0.023,6.047,0.026,5.958,0.031,,,,,,,,,416.910
211722346,08 11 36.745,+16 13 03.68,0,7.072,40115,1377-1211-1,532-044955,08113674+1613038,,STAR,BV,-4.310,0.640,8.140,0.460,3.450,0.550,8.504,0.020,7.298,0.012,,,,,,,,,,,5.298,0.019,,,4.597,0.023,,,,,,,,,418.884
211305053,08 46 02.909,+09 57 05.69,0,7.814,43027,810-1802-1,500-052231,,,STAR,gri,-0.140,0.700,-14.720,0.450,3.140,0.570,9.051,0.019,7.696,0.011,,,9.038,0.080,8.025,0.050,7.289,0.280,,,,,,,,,,,,,,,,,420.176
211564251,09 08 06.397,+14 02 32.93,0,6.939,44831,818-147-1,521-048291,,,STAR,BV,-8.540,0.650,-14.730,0.290,1.950,0.580,8.903,0.019,7.277,0.011,,,,,,,,,,,,,,,,,,,,,,,,,430.976
211291256,08 37 05.771,+09 39 20.09,0,5.998,42265,801-1428-1,499-050948,08370578+0939201,,STAR,BV,-26.880,0.390,-6.870,0.310,6.680,0.400,5.992,0.014,5.910,0.010,,,,,,,,,,,5.665,0.026,5.622,0.029,5.609,0.016,,,,,,,,,433.520
