RA,Dec
254.291961,-25.130665
247.189683,-17.984988
253.952425,-23.602276
241.418633,-20.450059
242.943025,-25.046369
243.829332,-29.313003
244.23325,-24.779598
251.784717,-19.467774
253.878182,-26.126455
246.312764,-19.522564
249.323008,-18.123406
239.306958,-27.642559
253.204055,-25.519486
250.915688,-29.387484
246.675189,-29.954969
250.450494,-28.606456
250.699109,-28.800064
252.614707,-24.826839
243.010225,-18.232624
254.10472,-20.512242
250.764628,-23.047605
250.05796,-22.139132
249.202745,-19.016606
246.427207,-26.480439
243.114788,-30.283847
250.894297,-20.222822
247.429655,-26.790893
249.062579,-18.865896
249.278062,-28.488507
247.496655,-25.147788
250.169612,-27.837465
246.987166,-28.312741
237.666049,-23.258192
237.371318,-22.223009
237.485739,-21.490738
249.616064,-21.458176
248.407954,-27.569842
250.288632,-19.101112
238.423388,-25.286739
253.738251,-23.369027
253.487199,-17.976473
251.93748,-21.405195
252.510348,-24.997061
243.361959,-18.101026
249.749731,-20.827961
246.52217,-25.943394
247.645697,-27.176454
250.176961,-24.533905
253.555368,-23.530418
254.078942,-23.305148
245.295572,-23.724672
240.973952,-26.810177
245.636589,-20.324888
248.317241,-26.038502
243.462492,-30.212185
249.114359,-22.324064
238.801446,-25.778701
245.89975,-26.516916
250.068227,-26.167938
253.986261,-23.842557
252.782598,-20.627496
250.102911,-23.09641
252.064981,-24.025185
249.450655,-23.00603
244.337233,-15.327996
252.965662,-26.873834
251.072199,-26.295479
248.199708,-27.29528
248.053923,-26.105416
248.462876,-14.466622
244.785144,-28.293883
248.070796,-27.993147
247.328004,-21.198581
249.925778,-20.291599
246.452573,-29.9184
251.089914,-19.919676
252.625979,-17.135085
252.544616,-26.742546
243.716399,-28.243772
246.359343,-23.202101
247.016262,-26.857282
253.663553,-23.479797
243.28331,-29.622713
240.739085,-24.173612
246.168894,-27.355569
240.267569,-27.047833
251.492831,-27.367127
248.126328,-26.76356
248.890394,-26.099045
244.617738,-23.274304
237.771699,-22.626639
255.047113,-23.366089
254.533632,-23.142889
249.191598,-20.070021
250.276956,-24.152813
253.47976,-26.078395
251.073593,-22.523579
249.513662,-26.0587
251.030257,-20.390469
253.960091,-24.01719
250.915381,-22.736481
252.358484,-27.295506
254.266602,-19.539877
252.773094,-27.979918
247.616752,-26.926004
252.309647,-23.208925
251.683799,-21.580624
254.265511,-19.540638
241.776391,-26.181335
250.663695,-21.744847
249.816446,-27.819457
250.0553,-26.322189
250.024116,-26.060667
251.393043,-28.840654
252.788085,-22.119946
249.462596,-26.3242
246.768641,-20.755669
247.935195,-27.572966
249.987531,-21.664977
249.012252,-28.285997
250.793664,-25.32657
246.222892,-22.2353
248.690885,-27.110282
252.63926,-18.130567
250.67748,-19.684391
238.519906,-26.189448
239.490717,-17.089996
246.413078,-29.400443
248.261819,-26.82228
248.976326,-19.2257
248.29424,-28.120342
252.145719,-20.396826
250.203368,-26.920245
248.071164,-27.261007
249.062894,-24.638013
247.81482,-18.598885
251.404967,-21.705352
247.674993,-29.483067
252.794055,-25.420296
250.190275,-20.611584
251.296286,-21.110811
249.094719,-14.641481
251.41876,-20.992586
246.951368,-19.312625
249.36117,-19.342578
248.945005,-22.889522
250.907074,-20.696709
251.481856,-25.418237
251.681258,-28.909309
241.714311,-21.863835
250.376938,-22.621633
239.54869,-26.492652
249.512022,-25.141399
249.356174,-26.227161
242.816018,-18.116587
248.33549,-28.108796
246.848656,-23.284811
249.830586,-18.953169
250.369452,-18.981806
240.82451,-18.269181
247.282305,-20.234638
253.074562,-27.016161
249.330431,-27.902822
250.912787,-22.925202
245.716047,-24.096314
251.615216,-18.015201
248.132249,-27.45635
247.60202,-29.104519
253.11299,-25.058529
248.854274,-29.530923
251.797978,-21.632714
251.207701,-27.456113
254.762499,-23.256219
247.780066,-19.51407
249.48907,-20.80284
244.560868,-26.148552
246.019644,-25.570276
250.135033,-24.311093
238.870709,-26.807483
253.669865,-24.064099
252.681038,-25.427515
251.242831,-22.397011
245.96386,-30.181356
252.760008,-17.989486
251.42612,-19.623881
248.973532,-28.550833
241.769473,-16.943263
249.730111,-20.82329
246.383871,-23.900654
248.628604,-28.506202
251.563026,-17.346637
248.112024,-27.137108
248.306802,-28.115345
248.104853,-27.189918
249.864732,-22.369852
248.85236,-28.067054
247.981458,-26.238539
251.463404,-25.948945
244.28675,-20.407301
241.81007,-25.508441
253.541906,-24.209241
253.134521,-23.368782
