EPIC,RA,Dec,KepMag
203298187,247.0913870,-26.5939180,6.253
204493794,251.0744270,-22.1134570,6.255
203007011,246.4712880,-27.5829580,6.266
205441248,252.6806240,-17.5636340,6.314
202942340,250.4065020,-27.8096780,6.317
203564038,253.7082990,-25.7125670,6.322
204442651,253.8254050,-22.3181920,6.395
205305202,242.4802960,-18.3406220,6.395
204815626,252.8062350,-20.7368180,6.399
204945651,246.8211880,-20.1430510,6.413
202440603,246.1657240,-29.7046580,6.425
204301950,251.2868580,-22.8720300,6.445
204439389,251.2719630,-22.3308010,6.448
203487491,248.6034400,-25.9743650,6.452
203907974,241.9662000,-24.4623480,6.457
204616189,253.8702120,-21.6015370,6.461
204843595,243.6855330,-20.6115030,6.464
203094164,253.5246070,-27.2796060,6.465
203685724,254.0872070,-25.2909700,6.479
205313448,251.4491790,-18.2957840,6.503
204280811,249.7433500,-22.9557820,6.505
204731294,243.6203510,-21.1076350,6.523
204839959,253.3957920,-20.6280320,6.527
204663881,243.4181010,-21.3999590,6.557
203252158,251.8127700,-26.7443880,6.572
203454334,246.9847800,-26.0845160,6.580
203921344,248.6717060,-24.4068510,6.593
204138691,253.7117470,-23.5123730,6.593
205090673,242.9938660,-19.4502240,6.599
205193157,245.4275320,-18.9340670,6.628
204494085,249.9372930,-22.1122640,6.647
205218030,250.1546640,-18.8045810,6.653
203043210,251.0724890,-27.4562440,6.658
203202538,242.5663410,-26.9091230,6.688
204708560,251.4776770,-21.2068560,6.694
203795176,252.2874820,-24.9024420,6.695
205268266,241.2620910,-18.5394770,6.701
204686256,244.2448620,-21.3041340,6.718
205356608,250.3278160,-18.0594620,6.727
203554806,244.2759210,-25.7442660,6.730
205811064,247.0880260,-14.5275690,6.731
203892087,252.0576280,-24.5266510,6.745
205000433,250.6048850,-19.8845640,6.765
203950826,244.1112300,-24.2819490,6.784
203301794,248.3248860,-26.5825410,6.788
205417003,248.8472410,-17.7153790,6.788
202938298,247.6607080,-27.8238580,6.800
202569320,246.0781460,-29.1859680,6.803
203863931,252.4351470,-24.6407450,6.803
203376773,249.0733280,-26.3469230,6.807
203863930,252.4351470,-24.6407470,6.814
203170687,239.8649840,-27.0162870,6.817
205735596,243.0856790,-15.3495700,6.817
204115860,254.4327130,-23.6030620,6.824
204201856,246.2304960,-23.2645190,6.832
204964645,251.3487060,-20.0536730,6.833
204454733,247.8980810,-22.2703010,6.841
202964868,242.0299310,-27.7304360,6.842
202433192,249.2435380,-29.7356550,6.848
204564757,244.5229010,-21.8177800,6.857
203954375,240.2836610,-24.2666050,6.860
204253535,249.6216220,-23.0616220,6.891
204619355,249.0579440,-21.5882990,6.894
205028012,249.7641570,-19.7537000,6.895
204452437,251.3635520,-22.2794650,6.900
202773266,243.0679780,-28.4169590,6.907
205348929,246.4062510,-18.1028710,6.913
204022038,254.1304540,-23.9760260,6.920
204210994,253.4775140,-23.2291190,6.924
204819954,250.5015210,-20.7175080,6.928
203964359,241.3956290,-24.2233420,6.936
204222676,251.2861250,-23.1840340,6.937
205323329,242.0296810,-18.2431330,6.939
204231319,254.9115090,-23.1498280,6.940
204042740,250.0746740,-23.8958910,6.947
204720237,240.2743130,-21.1556490,6.951
204556748,252.3957510,-21.8523370,6.952
204317146,251.5001540,-22.8112820,6.963
203310687,245.9102680,-26.5553420,6.967
203311887,245.9136110,-26.5516880,6.975
205758890,243.2964550,-15.1169670,6.991
203749599,253.0242620,-25.0677670,7.000
203131552,242.8896760,-27.1508520,7.030
203667165,253.4527660,-25.3549900,7.032
202432922,248.4750560,-29.7367820,7.052
205355484,252.6485720,-18.0656960,7.053
202947454,241.4887400,-27.7918860,7.064
202395717,244.1699070,-29.8927150,7.092
