EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,logg,[Fe/H],Radius,mass,rho,Distance,E(B-V),Ang Sep (')
206008370,22 30 17.350,-14 35 08.66,0,6.485,111086,5817-1280-1,378-173802,22301734-1435085,,STAR,BV,33.280,0.570,-36.390,0.610,5.170,0.500,6.294,0.015,6.347,0.010,,,,,,,,,,,6.410,0.019,6.493,0.026,6.467,0.016,,,,,,,,,215.961
206354282,22 26 34.697,-07 22 39.17,0,6.861,110780,5232-1731-1,414-142126,22263467-0722391,,STAR,BV,75.380,0.830,-35.160,0.320,12.660,0.520,7.147,0.016,6.853,0.011,,,,,,,,,,,6.248,0.027,6.115,0.034,6.048,0.018,,,,,,,,,223.150
206094951,22 41 25.645,-12 13 47.77,0,6.477,112021,5815-301-1,389-137607,,,STAR,BV,12.360,0.730,-11.750,0.520,3.620,0.630,8.149,0.018,6.754,0.010,,,,,,,,,,,,,,,,,,,,,,,,,227.320
206021891,22 17 09.036,-14 11 32.61,0,7.980,110030,5809-432-1,380-166587,22170904-1411327,,STAR,BV,-14.430,1.260,-2.340,1.040,3.040,1.120,9.246,0.024,8.172,0.014,,,,,,,,,,,6.372,0.021,5.860,0.023,5.718,0.017,,,,,,,,,232.104
206149074,22 10 31.771,-10 49 13.41,0,6.428,109460,5806-285-1,396-133426,,,STAR,BV,49.230,0.720,28.490,0.360,7.270,0.620,7.765,0.016,6.634,0.010,,,,,,,,,,,,,,,,,,,,,,,,,238.141
206365425,22 23 32.151,-07 11 39.92,0,5.733,110532,5232-1730-1,415-145074,,,STAR,BV,-7.050,0.920,8.440,0.550,6.990,0.640,6.913,0.016,5.907,0.010,,,,,,,,,,,,,,,,,,,,,,,,,238.664
206011377,22 18 05.918,-14 29 52.01,0,7.977,,5810-734-1,378-173426,22180591-1429517,,STAR,BV,8.400,1.200,-1.400,1.200,,,9.952,0.043,8.317,0.015,,,,,,,,,,,5.348,0.017,,,,,,,,,,,,,239.428
206329218,22 16 50.036,-07 46 59.85,0,3.993,110003,5803-1996-1,412-133678,,,STAR,BV,118.800,0.250,-22.180,0.170,17.400,0.230,5.140,0.014,4.160,0.009,,,,,,,,,,,,,,,,,,,,,,,,,246.296
206180817,22 43 01.216,-10 06 09.68,0,6.872,112161,5815-833-1,400-137516,22430120-1006096,,STAR,BV,-10.410,0.720,9.520,0.540,6.180,0.670,8.021,0.016,7.038,0.011,,,,,,,,,,,5.412,0.021,4.925,0.027,4.801,0.017,,,,,,,,,248.455
206082334,22 42 32.236,-12 33 34.96,0,7.561,112111,5818-300-1,388-147174,22423224-1233350,,STAR,BV,-32.680,1.250,-8.420,0.660,4.830,0.770,7.386,0.015,7.427,0.011,,,,,,,,,,,7.484,0.023,7.562,0.055,7.552,0.027,,,,,,,,,249.056
206026259,22 38 34.677,-14 04 01.26,0,7.483,111790,5818-1307-1,380-167240,,,STAR,BV,55.840,0.900,5.090,0.640,10.740,0.720,7.761,0.015,7.473,0.011,,,,,,,,,,,,,,,,,,,,,,,,,249.378
206336792,22 36 17.055,-07 39 51.70,0,6.978,111577,5811-1664-1,412-134319,22361704-0739517,,STAR,BV,60.570,0.900,9.050,0.510,8.620,0.660,7.429,0.015,7.016,0.010,,,,,,,,,,,6.258,0.027,6.108,0.051,6.029,0.017,,,,,,,,,250.370
205989836,22 31 33.537,-15 07 20.47,0,6.097,,,,22313353-1507204,,STAR,J,,,,,,,,,,,,,,,,,,,,,6.097,0.024,5.253,0.023,4.873,0.023,,,,,,,,,251.911
206013513,22 16 00.693,-14 26 09.46,0,7.633,109943,5809-468-1,378-173361,22160069-1426094,,STAR,BV,4.000,1.130,-0.130,0.660,4.070,1.130,9.115,0.024,7.870,0.014,,,,,,,,,,,5.793,0.021,5.196,0.023,4.958,0.020,,,,,,,,,253.788
205982096,22 25 44.177,-15 21 25.94,0,7.664,110701,6385-1153-1,374-178380,22254417-1521259,,STAR,BV,-9.020,0.840,-5.360,0.580,4.650,0.840,8.805,0.019,7.890,0.012,,,,,,,,,,,6.287,0.019,5.850,0.034,5.748,0.017,,,,,,,,,255.989
206005949,22 16 56.269,-14 39 25.12,0,7.114,110014,5809-818-1,377-171695,22165627-1439250,,STAR,BV,1.220,0.850,-20.150,0.630,22.520,0.900,7.611,0.016,7.164,0.011,,,,,,,,,,,6.289,0.026,6.093,0.031,6.008,0.018,,,,,,,,,256.597
206321947,22 38 22.145,-07 53 51.21,0,6.068,111761,5812-1446-1,411-135994,,,STAR,BV,74.250,0.730,-0.980,0.480,8.380,0.620,7.023,0.015,6.244,0.010,,,,,,,,,,,,,,,,,,,,,,,,,258.526
206342759,22 37 00.932,-07 33 59.49,0,7.482,111647,5811-1661-1,413-146836,22370090-0733592,,STAR,BV,189.480,0.860,-168.150,0.660,13.390,0.840,7.744,0.016,7.468,0.011,,,,,,,,,,,6.831,0.027,6.714,0.031,6.653,0.027,,,,,,,,,261.424
205995164,22 16 45.363,-14 57 47.61,0,7.924,109997,5809-522-1,376-177798,22164536-1457476,,STAR,BV,13.090,1.150,0.400,0.760,1.500,1.230,9.130,0.025,8.103,0.016,,,,,,,,,,,6.289,0.018,5.753,0.042,5.622,0.023,,,,,,,,,273.433
206314685,22 12 35.785,-08 00 50.32,0,7.177,109637,5803-426-1,410-142319,22123577-0800504,,STAR,BV,58.320,0.840,-39.390,0.460,11.740,0.810,7.556,0.016,7.194,0.011,,,,,,,,,,,6.347,0.018,6.188,0.036,6.119,0.020,,,,,,,,,278.357
206021825,22 12 25.756,-14 11 38.25,0,6.022,109624,5809-416-1,380-166432,22122575-1411384,,STAR,BV,23.890,0.790,-47.430,0.450,23.780,0.720,6.413,0.015,6.043,0.010,,,,,,,,,,,5.291,0.024,,,5.023,0.017,,,,,,,,,279.129
206404765,22 31 18.313,-06 33 18.54,0,6.074,111170,5239-1572-1,418-152867,,,STAR,BV,161.610,0.780,-108.400,0.550,39.350,0.700,6.702,0.015,6.160,0.010,,,,,,,,,,,,,,,,,,,,,,,,,281.045
206296177,22 11 20.270,-08 17 59.15,0,6.085,,,,22112027-0817591,,STAR,J,,,,,,,,,,,,,,,,,,,,,6.085,0.026,5.197,0.033,4.832,0.016,,,,,,,,,281.927
206340450,22 39 30.373,-07 36 16.51,0,7.485,111863,5812-112-1,412-134409,22393036-0736164,,STAR,BV,11.610,1.020,-15.680,0.920,3.650,0.980,9.003,0.022,7.729,0.013,,,,,,,,,,,5.482,0.032,,,4.605,0.018,,,,,,,,,282.897
206182139,22 07 46.427,-10 04 42.90,0,7.268,109236,5806-1303-1,400-136466,22074643-1004428,,STAR,BV,9.690,0.950,-26.980,0.480,5.820,0.830,8.564,0.018,7.466,0.011,,,,,,,,,,,5.718,0.027,5.177,0.027,5.014,0.016,,,,,,,,,285.105
206135675,22 46 14.222,-11 09 58.70,0,6.338,112420,5815-1243-1,395-130560,,,STAR,BV,-10.580,0.530,-31.080,0.340,2.890,0.480,8.317,0.017,6.679,0.010,,,,,,,,,,,,,,,,,,,,,,,,,288.137
206207028,22 45 20.799,-09 38 40.34,0,7.449,112346,5812-1449-1,402-129841,22452078-0938403,,STAR,BV,21.010,0.940,-12.790,0.750,11.870,0.760,7.631,0.016,7.413,0.011,,,,,,,,,,,7.057,0.024,7.031,0.038,6.961,0.020,,,,,,,,,289.130
206007739,22 40 20.877,-14 36 14.79,0,7.938,111931,5818-398-1,377-172370,22402087-1436147,,STAR,BV,-18.520,1.110,-20.070,0.600,3.020,0.770,9.163,0.020,8.121,0.013,,,,,,,,,,,6.292,0.021,5.768,0.027,5.645,0.016,,,,,,,,,290.406
206410048,22 32 34.060,-06 28 01.83,0,6.819,111274,5239-1166-1,418-152906,22323403-0628020,,STAR,BV,293.130,0.480,30.270,0.360,27.470,0.490,7.618,0.016,6.952,0.010,,,,,,,,,,,5.728,0.019,5.411,0.024,5.307,0.023,,,,,,,,,291.234
205966160,22 22 31.297,-15 51 00.55,0,7.791,,,371-184694,22223125-1551002,,STAR,J,117.000,2.300,-13.900,2.300,,,,,,,,,,,,,,,,,7.791,0.168,6.768,0.204,,,,,,,,,,,291.528
206295361,22 43 03.414,-08 18 41.19,0,6.835,112168,5812-1447-1,409-138991,22430340-0818411,,STAR,BV,15.730,1.010,-4.030,0.840,6.820,0.980,6.921,0.015,6.773,0.011,,,,,,,,,,,6.087,0.021,6.063,0.036,6.000,0.023,,,,,,,,,294.411
205984021,22 38 33.728,-15 17 57.33,0,6.553,,,,22383372-1517573,,STAR,J,,,,,,,,,,,,,,,,,,,,,6.553,0.019,5.954,0.031,5.537,0.020,,,,,,,,,306.221
206303603,22 09 26.880,-08 11 08.62,0,6.819,109369,5803-1658-1,410-142224,22092687-0811086,,STAR,BV,62.210,0.550,49.690,0.290,5.980,0.600,7.960,0.018,6.984,0.011,,,,,,,,,,,5.304,0.023,4.857,0.016,4.696,0.018,,,,,,,,,308.685
206443910,22 27 51.720,-05 54 21.20,0,7.708,110883,5232-1063-1,421-140932,22275171-0554210,,STAR,BV,25.350,0.770,-9.620,0.520,5.450,0.720,8.921,0.020,7.888,0.013,,,,,,,,,,,6.026,0.026,5.455,0.031,5.345,0.021,,,,,,,,,311.955
205950704,22 30 26.743,-16 20 48.11,0,7.063,111100,6385-102-1,369-184896,22302673-1620483,,STAR,BV,70.330,0.780,37.100,0.640,5.830,0.730,8.376,0.019,7.264,0.012,,,,,,,,,,,5.372,0.020,,,4.686,0.018,,,,,,,,,319.788
205962004,22 17 27.191,-15 58 47.14,0,6.882,110054,6378-594-1,371-184531,22172719-1558471,,STAR,BV,29.840,0.630,2.670,0.390,7.860,0.550,8.107,0.018,7.065,0.011,,,,,,,,,,,5.336,0.026,4.863,0.023,4.698,0.023,,,,,,,,,322.274
206159530,22 48 30.210,-10 33 19.71,0,6.195,112615,5815-1323-1,398-137211,22483019-1033196,,STAR,BV,31.920,0.470,9.230,0.250,8.960,0.350,6.455,0.014,6.180,0.010,,,,,,,,,,,5.637,0.020,5.542,0.031,5.492,0.020,,,,,,,,,323.429
206343913,22 09 29.866,-07 32 55.15,0,6.363,109378,5803-1956-1,413-145896,22092985-0732548,,STAR,BV,85.070,0.460,-449.740,0.300,46.380,0.480,7.295,0.016,6.532,0.010,,,,,,,,,,,5.275,0.024,4.957,0.031,4.799,0.020,,,,,,,,,331.419
206128675,22 49 26.515,-11 20 57.25,0,7.610,112705,5816-1280-1,394-127986,22492651-1120571,,STAR,BV,39.080,0.730,8.280,0.450,8.030,0.660,7.966,0.016,7.621,0.012,,,,,,,,,,,7.344,0.019,7.373,0.040,7.312,0.026,,,,,,,,,335.510
205938920,22 26 34.270,-16 44 31.60,0,6.195,110778,6385-683-1,367-181539,,,STAR,BV,200.590,1.760,14.510,0.890,49.500,1.230,6.955,0.016,6.317,0.010,,,,,,,,,,,,,,,,,,,,,,,,,338.729
206447888,22 18 14.944,-05 50 29.84,0,7.867,110108,5231-1634-1,421-140617,22181494-0550299,,STAR,BV,7.420,1.340,20.120,0.640,5.850,1.140,9.207,0.024,8.074,0.014,,,9.784,0.030,,,,,,,6.341,0.023,5.873,0.036,5.709,0.018,,,,,,,,,339.089
206033449,22 06 26.227,-13 52 10.86,0,4.418,109139,5808-1683-1,381-168299,,,STAR,BV,36.890,0.210,-58.990,0.110,18.620,0.220,4.201,0.014,4.273,0.009,,,,,,,,,,,,,,,,,,,,,,,,,339.691
206011636,22 07 35.296,-14 29 26.71,0,6.779,109220,5808-878-1,378-173069,22073528-1429266,,STAR,BV,61.270,0.490,-26.230,0.280,7.310,0.490,6.844,0.015,6.711,0.010,,,,,,,,,,,6.437,0.023,6.420,0.036,6.396,0.020,,,,,,,,,345.370
205949434,22 36 06.437,-16 23 16.76,0,6.995,111563,6386-1329-1,369-185086,22360643-1623168,,STAR,BV,5.320,0.610,-17.860,0.410,-0.370,0.580,6.677,0.014,6.821,0.010,,,,,,,,,,,7.098,0.024,7.254,0.031,7.211,0.018,,,,,,,,,346.006
206165844,22 50 06.933,-10 24 28.23,0,7.879,112757,5816-157-1,398-137257,22500694-1024282,,STAR,BV,-9.230,0.920,-19.580,0.600,5.540,0.750,9.541,0.025,8.154,0.013,,,,,,,,,,,5.843,0.029,5.147,0.023,4.970,0.029,,,,,,,,,348.090
206379494,22 43 14.262,-06 57 46.58,0,6.538,112179,5240-1569-1,416-150769,22431426-0657464,,STAR,BV,25.580,0.580,-10.940,0.510,8.760,0.490,6.368,0.014,6.405,0.010,,,,,,,,,,,6.436,0.023,6.527,0.051,6.480,0.024,,,,,,,,,348.982
206065004,22 04 05.984,-13 01 10.65,0,7.557,108931,5808-423-1,385-158906,22040597-1301107,,STAR,BV,-5.010,0.690,-8.410,0.410,5.700,0.670,7.614,0.015,7.486,0.012,,,,,,,,,,,7.263,0.023,7.252,0.024,7.191,0.027,,,,,,,,,350.470
205940019,22 19 34.410,-16 42 15.69,0,7.216,110219,6378-1390-1,367-181313,22193441-1642155,,STAR,BV,40.510,0.690,-82.180,0.480,21.620,0.730,7.799,0.016,7.289,0.012,,,,,,,,,,,6.270,0.019,6.054,0.036,5.942,0.020,,,,,,,,,351.920
206485245,22 32 36.744,-05 10 23.03,0,7.947,111281,5239-460-1,425-131249,22323674-0510229,,STAR,BV,18.040,1.530,1.570,0.790,1.670,1.070,9.800,0.033,8.261,0.015,,,,,,,,,,,5.768,0.026,,,4.858,0.021,,,,,,,,,366.226
206308337,22 48 22.520,-08 06 44.28,0,7.054,112604,5812-1021-1,410-143488,,,STAR,BV,2.780,0.710,1.570,0.470,3.000,0.640,8.831,0.021,7.352,0.012,,,9.661,0.030,,,,,,,,,,,,,,,,,,,,,367.653
206043611,22 49 35.502,-13 35 33.48,0,3.700,112716,5819-1247-1,383-164828,,,STAR,BV,-13.710,0.430,-39.030,0.270,10.270,0.290,5.589,0.015,4.022,0.009,,,,,,,,,,,,,,,,,,,,,,,,,367.832
206473905,22 17 06.499,-05 23 13.80,0,5.541,110023,5231-1818-1,424-131890,,,STAR,BV,-6.050,0.680,18.670,0.280,10.550,0.410,6.622,0.015,5.751,0.010,,,,,,,,,,,,,,,,,,,,,,,,,370.740
205937020,22 36 43.256,-16 48 24.86,0,7.967,,6386-1057-1,366-185985,22364325-1648248,,STAR,BV,0.100,1.500,-58.200,1.800,,,9.353,0.021,8.184,0.012,,,,,,,,,,,6.255,0.024,5.695,0.040,5.545,0.017,,,,,,,,,372.570
