EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,logg,[Fe/H],Radius,mass,rho,Distance,E(B-V),Ang Sep (')
214634142,19 17 07.324,-26 00 40.58,0,7.793,,,320-214302,19170732-2600406,,STAR,J,10.500,4.800,4.900,2.500,,,,,,,,,,,,,,,,,7.793,0.024,7.010,0.034,6.494,0.021,,,,,,,,,177.677
217525546,19 13 09.126,-20 25 18.70,0,7.784,94429,6304-323-1,348-174467,19130913-2025186,,STAR,BV,25.580,0.840,-6.440,0.520,10.610,0.720,8.294,0.016,7.838,0.011,,,,,,,,,,,6.999,0.026,6.792,0.027,6.702,0.020,,,,,,,,,178.136
216575095,18 59 32.900,-22 06 11.13,0,7.344,,,340-177757,18593290-2206111,,STAR,J,4.100,2.000,-5.300,6.000,,,,,,,,,,,,,,,,,7.344,0.020,6.437,0.021,5.915,0.017,,,,,,,,,179.392
217568218,19 11 19.255,-20 20 50.09,0,7.846,94274,6291-2409-1,349-168958,19111927-2020502,,STAR,BV,-3.180,0.830,-9.700,0.530,2.550,0.680,7.684,0.015,7.715,0.011,,,,,,,,,,,7.696,0.027,7.727,0.034,7.700,0.029,,,,,,,,,180.766
215208762,18 59 29.561,-24 42 13.28,0,5.921,,,327-176236,18592957-2442131,,STAR,J,-1.300,2.800,-5.100,1.900,,,,,,,,,,,,,,,,,5.921,0.021,5.027,0.023,4.419,0.031,,,,,,,,,180.899
216474994,18 58 54.470,-22 16 54.64,0,7.801,,,339-173495,18585447-2216546,,STAR,J,0.500,1.800,-3.300,1.900,,,,,,,,,,,,,,,,,7.801,0.021,6.844,0.033,6.387,0.021,,,,,,,,,183.313
216337004,18 58 24.829,-22 31 46.18,0,6.228,93140,6860-432-1,338-182053,18582483-2231462,,STAR,BV,3.990,0.470,12.130,0.330,12.600,0.400,6.224,0.014,6.141,0.010,,,,,,,,,,,5.962,0.027,5.930,0.040,5.907,0.033,,,,,,,,,185.024
214768757,19 02 24.075,-25 41 18.79,0,7.975,93492,6877-273-1,322-199495,19022406-2541187,,STAR,BV,3.860,1.000,6.460,0.550,4.730,0.830,9.537,0.025,8.229,0.013,,,,,,,,,,,5.916,0.020,5.353,0.044,5.131,0.023,,,,,,,,,185.229
214593160,19 05 00.945,-26 06 40.63,0,7.999,,,,19050094-2606406,,STAR,J,,,,,,,,,,,,,,,,,,,,,7.999,0.020,7.038,0.033,6.426,0.016,,,,,,,,,186.039
214581884,19 05 11.433,-26 08 19.95,0,7.049,93736,6877-358-1,320-210501,,,STAR,BV,3.150,0.910,-2.290,0.650,2.500,0.710,8.929,0.020,7.369,0.011,,,,,,,,,,,,,,,,,,,,,,,,,186.427
