EPIC,RA,Dec,KepMag,HIP,TYC,UCAC,2MASS,Ch,Col,Row,Bmag,Vmag,Jmag,Hmag,Kmag,Teff,logg,[Fe/H],Radius,mass,Distance,E(B-V)
215955460,285.349823,-23.2282162,7.637,93405,6873-765-1,334-195065,19012394-2313414,61,302,390,8.9,7.828,5.818,5.273,5.122,,,,,,,
216205832,280.4737549,-22.7693214,7.642,,,337-168065,18415370-2246096,83,1007,627,,,7.642,6.642,6.113,,,,,,,
215774641,283.8624573,-23.5654926,7.645,,,333-196744,18552697-2333557,64,191,506,,,7.645,6.732,6.292,,,,,,,
217867300,283.9010925,-19.8225193,7.651,,,351-163134,18553626-1949210,69,578,33,,,7.651,6.641,6.189,,,,,,,
217084133,287.5718994,-21.1998844,7.654,,,345-181722,19101725-2111595,45,637,406,,,7.654,6.782,6.26,,,,,,,
216282287,283.8479309,-22.628479,7.654,,,337-176513,18552350-2237425,67,253,764,,,7.654,6.679,6.311,,,,,,,
217898641,283.6676941,-19.7673283,7.654,,,352-157514,18544024-1946024,69,751,144,,,7.654,6.704,6.328,,,,,,,
217887333,288.8594666,-19.7869778,7.666,94637,6304-1743-1,352-167913,19152628-1947132,27,466,937,7.917,7.649,7.085,7.007,6.95,,,,,,,
217142192,284.4057007,-21.0973682,7.669,,,345-175667,18573737-2105503,65,806,509,,,7.669,6.681,6.047,,,,,,,
215040614,281.373291,-25.0696545,7.675,,,325-188198,18452958-2504105,80,849,720,,,7.675,6.671,6.252,2712,-0.488,0.404,300.891,1.072,5222,0.365
214702744,282.6037598,-25.8453426,7.677,,,321-205096,18502490-2550433,78,398,703,,,7.677,6.673,6.339,2938,-0.312,0.143,225.062,1.216,4949,0.291
214267193,283.4242554,-26.9294281,7.678,,,316-219209,18534182-2655460,73,388,380,,,7.678,6.717,6.358,,,,,,,
216116430,288.4918518,-22.9318256,7.681,94494,6874-745-1,336-187748,,42,458,909,9.61,8.011,,,,,,,,,,
215310282,288.1897583,-24.4872532,7.683,94397,6878-718-1,328-187565,19124553-2429140,44,1039,23,7.608,7.576,7.416,7.406,7.4,,,,,,,
215793586,283.7376709,-23.5301266,7.684,,,333-196463,18545704-2331485,64,128,418,,,7.684,6.801,6.252,,,,,,,
219119080,285.1069946,-17.4843693,7.69,93319,6286-472-1,363-172336,19002567-1729036,51,737,473,8.163,7.733,6.937,6.814,6.708,6994,4.223,0.014,1.555,1.476,84.53,0.029
218866151,282.5066223,-18.0040092,7.691,,,360-178069,18500158-1800142,71,1037,201,,,7.691,6.455,5.691,,,,,,,
216016364,281.0866089,-23.1157436,7.697,,,335-185775,18442078-2306567,83,553,1022,,,7.697,6.644,6.042,,,,,,,
216313062,291.1587219,-22.5728207,7.698,,6876-177-1,338-192417,19243809-2234222,24,792,822,7.533,7.567,7.533,7.621,7.562,9791,4.133,0.022,2.402,2.454,226.8,0.08
218114371,292.5396729,-19.385685,7.702,,6306-417-1,354-177220,,9,464,911,9.951,8.099,,,,,,,,,,
216810184,281.8979187,-21.6845303,7.705,,,342-166210,18473549-2141042,81,639,96,,,7.705,6.656,6.055,,,,,,,
217954302,283.6856384,-19.6684418,7.708,,,352-157571,18544455-1940066,69,708,224,,,7.708,6.767,6.397,,,,,,,
216385367,280.8347473,-22.4428272,7.714,,,338-172693,18432034-2226339,84,1028,1014,,,7.714,6.619,6.137,,,,,,,
218128135,289.5858765,-19.3610592,7.731,,6304-1595-1,354-173321,,28,1041,800,9.606,8.05,,,,,,,,,,
216314390,283.5324402,-22.5703754,7.733,92758,6860-244-1,338-179729,18540779-2234132,67,388,531,7.689,7.635,7.309,7.307,7.216,9418,3.568,0.056,4.726,3.131,666.7,0.108
214156847,283.3552856,-27.2244873,7.738,,,314-225576,18532527-2713281,73,625,517,,,7.738,6.823,6.253,,,,,,,
216070198,279.8977966,-23.0165367,7.738,,,335-181414,18393545-2300595,83,938,102,,,7.738,6.762,6.335,,,,,,,
217318435,283.1966553,-20.7852039,7.745,,,,18524719-2047067,68,215,777,,,7.745,6.769,6.191,,,,,,,
214816337,280.9236145,-25.5769806,7.745,,,323-191954,18434166-2534372,79,1047,232,,,7.745,6.695,6.336,3120,-0.144,0.142,193.976,1.206,4812,0.348
216031756,281.6081543,-23.0872154,7.753,,,335-187205,18462597-2305140,82,452,720,,,7.753,6.699,6.145,,,,,,,
219228289,286.8273315,-17.2418747,7.759,93906,6287-909-1,364-162048,19071855-1714308,52,15,762,7.61,7.632,7.424,7.46,7.347,,,,,,,
219008765,283.0765686,-17.7237701,7.76,,,362-168993,18521836-1743253,72,641,104,,,7.76,6.849,6.513,,,,,,,
218958231,285.9635315,-17.8313026,7.764,,,,19035125-1749526,52,895,1015,,,7.764,6.897,6.347,,,,,,,
215962336,284.9680176,-23.2154884,7.765,,,334-194295,18595232-2312557,61,186,687,,,7.765,6.856,6.486,,,,,,,
213876671,289.7749329,-28.0112972,7.774,,,310-250345,19190598-2800408,34,1107,402,,,7.774,6.93,6.497,,,,,,,
217057859,291.6152039,-21.2459469,7.781,95577,6309-2741-1,344-184863,,23,456,23,8.534,7.01,,,,,,,,,,
219141094,286.1742554,-17.4361534,7.787,,,363-174400,19044181-1726099,52,605,738,,,7.787,6.841,6.494,,,,,,,
216677409,283.0348816,-21.9215279,7.789,92602,6293-2060-1,341-174338,18520837-2155174,67,1078,320,6.716,6.576,6.235,6.193,6.158,,,,,,,
216925939,280.2520752,-21.478714,7.791,,,343-168197,18410048-2128435,84,49,801,,,7.791,6.859,6.539,,,,,,,
219075324,283.4460144,-17.5795689,7.792,,,363-167950,18534704-1734463,72,297,83,,,7.792,6.953,6.525,,,,,,,
214634142,289.2805176,-26.0112724,7.793,,,320-214302,19170732-2600406,39,833,1007,,,7.793,7.01,6.494,,,,,,,
217529222,284.0920715,-20.4152794,7.793,,,348-166185,18562209-2024548,65,135,563,,,7.793,6.889,6.423,,,,,,,
213868042,281.7530212,-28.0368824,7.799,,,310-238832,18470070-2802127,76,926,193,,,7.799,6.809,6.348,,,,,,,
216474994,284.7269592,-22.2818432,7.801,,,339-173495,18585447-2216546,66,316,604,,,7.801,6.844,6.387,,,,,,,
214701394,280.8432312,-25.8485584,7.803,,,321-200934,18432236-2550547,79,832,95,,,7.803,6.775,6.444,,,,,,,
216169941,280.2244568,-22.8347473,7.808,,,336-170649,18405388-2250050,83,1013,411,,,7.808,6.844,6.387,,,,,,,
215935338,284.8731079,-23.2659397,7.81,93239,6873-648-1,334-194130,,61,204,776,9.467,8.083,,,,,,,,,,
216403157,280.8343506,-22.4108162,7.82,91826,6292-821-1,338-172691,18432025-2224388,84,1000,1022,7.926,7.763,7.107,7.11,7.045,10069,3.578,0.061,4.858,3.327,495,0.106
215368649,285.6781616,-24.3645744,7.821,93516,6873-741-1,329-179491,,62,860,473,9.387,7.69,,,,,,,,,,
216286291,281.3592529,-22.621273,7.821,,,337-170737,18452621-2237164,82,918,791,,,7.821,6.835,6.38,,,,,,,
215747117,288.6143799,-23.6172924,7.822,,,,19142745-2337022,43,580,638,,,7.822,6.94,6.307,,,,,,,
219303517,285.2124634,-17.0697269,7.823,,,365-162418,19005098-1704109,51,946,149,,,7.823,6.787,6.306,,,,,,,
213639687,287.2344055,-28.7410431,7.826,94059,6886-1945-1,307-256098,19085625-2844276,54,656,317,8.984,7.995,6.058,5.476,5.364,4681,2.652,-0.147,8.376,1.234,149.9,0.058
218613419,285.2123718,-18.4824791,7.826,,,,19005096-1828569,50,522,809,,,7.826,6.917,6.466,,,,,,,
218501614,282.4467773,-18.6877651,7.827,,,357-164418,18494722-1841160,71,799,770,,,7.827,6.768,6.322,,,,,,,
216822152,280.2248535,-21.6633205,7.829,,,342-161332,18405396-2139478,84,201,731,,,7.829,6.771,6.35,,,,,,,
215549222,282.6568909,-23.9884701,7.833,,,331-183350,18503765-2359186,77,240,140,,,7.833,6.804,6.162,,,,,,,
