EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,logg,[Fe/H],Radius,mass,rho,Distance,E(B-V),Ang Sep (')
220323358,00 37 30.491,+03 08 07.27,0,6.139,2954,13-1406-1,466-000839,,,STAR,BV,90.260,0.410,-59.750,0.260,4.480,0.450,7.770,0.017,6.407,0.010,,,,,,,,,,,,,,,,,,,,,,,,,435.623
220305952,00 38 00.551,+02 45 49.14,0,7.487,2988,13-1409-1,464-000877,00380054+0245491,,STAR,BV,13.800,0.660,-5.940,0.450,2.960,0.630,8.742,0.018,7.676,0.011,,,,,,,,,,,5.858,0.029,5.334,0.029,5.142,0.021,,,,,,,,,435.708
220153522,00 57 50.215,-01 45 57.50,0,6.370,4511,4674-1062-1,442-001234,,,STAR,BV,22.890,0.870,-0.660,0.520,5.630,0.790,7.574,0.015,6.548,0.010,,,,,,,,,,,,,,,,,,,,,,,,,436.474
220146609,01 00 03.689,-02 01 08.49,0,7.299,4676,4681-1643-1,440-001281,01000369-0201085,,STAR,BV,69.050,0.600,-45.170,0.430,11.160,0.570,7.812,0.016,7.354,0.011,,,,,,,,,,,6.497,0.021,6.359,0.038,6.263,0.017,,,,,,,,,444.016
220702356,01 21 19.260,+11 32 12.28,0,6.893,6334,616-939-1,508-002249,01211928+1132123,,STAR,BV,58.390,0.640,-0.490,0.340,4.840,0.640,7.328,0.015,6.926,0.011,,,,,,,,,,,6.138,0.027,5.946,0.036,5.873,0.023,,,,,,,,,444.767
220696150,01 22 53.603,+11 21 59.41,0,6.558,6451,617-558-1,507-001994,,,STAR,BV,44.370,0.390,-47.280,0.250,10.360,0.390,7.938,0.016,6.773,0.010,,,,,,,,,,,,,,,,,,,,,,,,,449.282
220563513,01 33 18.278,+08 12 31.45,0,6.100,7243,621-641-1,492-002260,,,STAR,BV,18.450,0.830,-32.260,0.480,6.760,0.720,7.541,0.016,6.328,0.010,,,,,,,,,,,,,,,,,,,,,,,,,452.322
220167249,01 20 53.088,-01 18 38.12,0,7.336,6302,4682-1422-1,444-001666,01205307-0118381,,STAR,BV,40.160,0.580,7.290,0.470,9.230,0.630,7.608,0.016,7.324,0.011,,,,,,,,,,,6.889,0.023,6.803,0.026,6.741,0.021,,,,,,,,,457.923
220140912,01 11 43.509,-02 15 03.88,0,5.633,5594,4681-2471-1,439-001475,,,STAR,BV,-57.960,0.320,-22.400,0.240,5.820,0.320,7.345,0.016,5.918,0.010,,,,,,,,,,,,,,,,,,,,,,,,,460.809
220746564,01 06 33.627,+12 57 21.73,0,5.982,5204,618-1486-1,515-001720,,,STAR,BV,13.500,0.520,25.940,0.340,7.500,0.440,7.105,0.015,6.144,0.010,,,,,,,,,,,,,,,,,,,,,,,,,461.968
220189672,01 26 27.347,-00 23 56.52,0,6.186,6717,4682-817-1,449-001778,,,STAR,BV,49.840,0.490,-19.370,0.310,4.000,0.430,7.684,0.017,6.426,0.010,,,,,,,,,,,,,,,,,,,,,,,,,464.037
220706083,00 47 29.551,+11 38 32.36,0,7.376,3702,607-739-1,509-001178,00472954+1138324,,STAR,BV,28.940,0.990,2.180,0.780,3.900,0.790,8.684,0.019,7.576,0.012,,,,,,,,,,,5.501,0.019,4.957,0.031,4.869,0.024,,,,,,,,,465.481
220660217,01 29 05.457,+10 25 55.96,0,7.792,6919,617-813-1,503-002215,,,STAR,BV,18.690,1.140,1.870,0.750,1.070,0.940,9.726,0.037,8.123,0.014,,,,,,,,,,,,,,,,,,,,,,,,,469.638
220210489,01 29 52.981,+00 22 28.34,0,7.894,,21-1044-1,452-001895,01295299+0022284,,STAR,BV,4.800,1.000,5.200,1.000,,,9.332,0.027,8.121,0.015,,,,,,,,,,,6.033,0.024,5.394,0.020,5.216,0.021,,,,,,,,,470.101
220136046,00 59 03.056,-02 27 12.35,0,7.197,4609,4674-470-1,438-001196,,,STAR,BV,10.830,0.670,-8.200,0.450,1.440,0.580,9.172,0.023,7.537,0.012,,,,,,,,,,,,,,,,,,,,,,,,,472.476
220566280,01 34 52.571,+08 16 29.46,0,6.736,7366,621-541-1,492-002307,,,STAR,BV,2.380,0.480,-8.770,0.290,5.530,0.480,8.136,0.016,6.955,0.011,,,,,,,,,,,,,,,,,,,,,,,,,475.420
220497807,01 36 41.256,+06 43 04.86,0,6.823,7502,34-393-1,484-002221,,,STAR,BV,-12.010,0.680,-25.900,0.500,3.780,0.650,8.148,0.016,7.027,0.011,,,,,,,,,,,,,,,,,,,,,,,,,475.540
220539066,01 36 02.847,+07 38 43.08,0,7.381,7456,621-864-1,489-002194,01360289+0738436,,STAR,BV,-22.040,0.890,19.160,0.460,13.150,0.700,7.918,0.017,7.442,0.012,,,,,,,,,,,5.976,0.019,5.805,0.024,5.721,0.017,,,,,,,,,479.298
220133936,01 13 23.151,-02 33 03.01,0,7.028,5704,4681-2055-1,438-001482,01132315-0233027,,STAR,BV,66.730,0.590,-24.120,0.380,6.240,0.550,8.385,0.017,7.238,0.011,,,,,,,,,,,5.383,0.018,,,4.672,0.020,,,,,,,,,484.000
